datetime;demand
2024-01-01T00:00:00.000+01:00;22021
2024-01-01T00:05:00.000+01:00;22062
2024-01-01T00:10:00.000+01:00;22101
2024-01-01T00:15:00.000+01:00;21991
2024-01-01T00:20:00.000+01:00;21893
2024-01-01T00:25:00.000+01:00;21870
2024-01-01T00:30:00.000+01:00;21805
2024-01-01T00:35:00.000+01:00;21849
2024-01-01T00:40:00.000+01:00;21740
2024-01-01T00:45:00.000+01:00;21741
2024-01-01T00:50:00.000+01:00;21658
2024-01-01T00:55:00.000+01:00;21630
2024-01-01T01:00:00.000+01:00;21565
2024-01-01T01:05:00.000+01:00;21532
2024-01-01T01:10:00.000+01:00;21540
2024-01-01T01:15:00.000+01:00;21449
2024-01-01T01:20:00.000+01:00;21378
2024-01-01T01:25:00.000+01:00;21255
2024-01-01T01:30:00.000+01:00;21161
2024-01-01T01:35:00.000+01:00;21089
2024-01-01T01:40:00.000+01:00;20995
2024-01-01T01:45:00.000+01:00;20911
2024-01-01T01:50:00.000+01:00;20792
2024-01-01T01:55:00.000+01:00;20741
2024-01-01T02:00:00.000+01:00;20575
2024-01-01T02:05:00.000+01:00;20458
2024-01-01T02:10:00.000+01:00;20377
2024-01-01T02:15:00.000+01:00;20282
2024-01-01T02:20:00.000+01:00;20172
2024-01-01T02:25:00.000+01:00;20090
2024-01-01T02:30:00.000+01:00;19974
2024-01-01T02:35:00.000+01:00;19898
2024-01-01T02:40:00.000+01:00;19806
2024-01-01T02:45:00.000+01:00;19735
2024-01-01T02:50:00.000+01:00;19589
2024-01-01T02:55:00.000+01:00;19441
2024-01-01T03:00:00.000+01:00;19411
2024-01-01T03:05:00.000+01:00;19268
2024-01-01T03:10:00.000+01:00;19107
2024-01-01T03:15:00.000+01:00;19028
2024-01-01T03:20:00.000+01:00;18936
2024-01-01T03:25:00.000+01:00;18874
2024-01-01T03:30:00.000+01:00;18793
2024-01-01T03:35:00.000+01:00;18751
2024-01-01T03:40:00.000+01:00;18662
2024-01-01T03:45:00.000+01:00;18607
2024-01-01T03:50:00.000+01:00;18508
2024-01-01T03:55:00.000+01:00;18467
2024-01-01T04:00:00.000+01:00;18410
2024-01-01T04:05:00.000+01:00;18376
2024-01-01T04:10:00.000+01:00;18296
2024-01-01T04:15:00.000+01:00;18262
2024-01-01T04:20:00.000+01:00;18217
2024-01-01T04:25:00.000+01:00;18129
2024-01-01T04:30:00.000+01:00;18119
2024-01-01T04:35:00.000+01:00;18077
2024-01-01T04:40:00.000+01:00;17965
2024-01-01T04:45:00.000+01:00;17965
2024-01-01T04:50:00.000+01:00;17927
2024-01-01T04:55:00.000+01:00;17903
2024-01-01T05:00:00.000+01:00;17898
2024-01-01T05:05:00.000+01:00;17960
2024-01-01T05:10:00.000+01:00;17934
2024-01-01T05:15:00.000+01:00;17937
2024-01-01T05:20:00.000+01:00;17903
2024-01-01T05:25:00.000+01:00;17894
2024-01-01T05:30:00.000+01:00;17875
2024-01-01T05:35:00.000+01:00;17842
2024-01-01T05:40:00.000+01:00;17842
2024-01-01T05:45:00.000+01:00;17856
2024-01-01T05:50:00.000+01:00;17822
2024-01-01T05:55:00.000+01:00;17811
